title,link,published,category
Стало известно о значительном росте цен на газ в Германии с нового года,https://lenta.ru/news/2022/12/25/german_/,"Sun, 25 Dec 2022 21:48:26 +0300",Экономика
Спортивный директор «Аль-Насра» высказался о возможном переходе Роналду в клуб,https://lenta.ru/news/2022/12/25/alnasr/,"Sun, 25 Dec 2022 21:44:58 +0300",Спорт
В Госдуме назвали Зеленского предателем родины,https://lenta.ru/news/2022/12/25/traitor/,"Sun, 25 Dec 2022 21:44:00 +0300",Россия
В Турции оценили роль Запада в конфликте на Украине,https://lenta.ru/news/2022/12/25/mediator/,"Sun, 25 Dec 2022 21:42:00 +0300",Мир
Эрдоган согласился с Путиным по вопросу поставок зерна,https://lenta.ru/news/2022/12/25/erdogan_zerno/,"Sun, 25 Dec 2022 21:36:03 +0300",Мир
В Австрии десять лыжников пропали после схода лавины,https://lenta.ru/news/2022/12/25/lavina/,"Sun, 25 Dec 2022 21:30:14 +0300",Мир
Москва и Анкара предпримут совместные шаги для экспорта российских удобрений,https://lenta.ru/news/2022/12/25/udobreniya/,"Sun, 25 Dec 2022 21:27:51 +0300",Мир
В России предложили создать центры подготовки спецназа,https://lenta.ru/news/2022/12/25/specnaz/,"Sun, 25 Dec 2022 21:16:00 +0300",Россия
Эрдоган обсудит с правительством проект газового хаба,https://lenta.ru/news/2022/12/25/turkey_er/,"Sun, 25 Dec 2022 21:16:00 +0300",Мир
В России допустили прямое военное столкновение Москвы и Вашингтона в 2023 году,https://lenta.ru/news/2022/12/25/stolknovenie/,"Sun, 25 Dec 2022 21:14:00 +0300",Россия
Россиянин поджег квартиру с детьми из-за неприязни к соседям,https://lenta.ru/news/2022/12/25/podjeg/,"Sun, 25 Dec 2022 21:10:00 +0300",Силовые структуры
В Турции рассказали о вывезенной с Украины агропродукции,https://lenta.ru/news/2022/12/25/agro/,"Sun, 25 Dec 2022 21:09:00 +0300",Мир
В вероятности отказа США от поддержки Украины усомнились,https://lenta.ru/news/2022/12/25/help/,"Sun, 25 Dec 2022 20:48:00 +0300",Мир
Ирина Шейк показала фигуру в бикини и рассмешила фанатов,https://lenta.ru/news/2022/12/25/irina/,"Sun, 25 Dec 2022 20:43:00 +0300",Ценности
Медведева высказалась о возвращении на турниры,https://lenta.ru/news/2022/12/25/medvedeva/,"Sun, 25 Dec 2022 20:35:00 +0300",Спорт
Трамп назвал Байдена умственно отсталым,https://lenta.ru/news/2022/12/25/umstot/,"Sun, 25 Dec 2022 20:33:00 +0300",Мир
"На Украине заявили о международной помощи на 1,5 миллиарда долларов",https://lenta.ru/news/2022/12/25/energosistema/,"Sun, 25 Dec 2022 20:18:00 +0300",Бывший СССР
Россия выдала Минску 16 виновных в экстремизме белорусов,https://lenta.ru/news/2022/12/25/belarus_rus/,"Sun, 25 Dec 2022 20:10:00 +0300",Бывший СССР
Бывший одноклубник Роналду оценил его способность соблюдать дисциплину,https://lenta.ru/news/2022/12/25/ronaldo/,"Sun, 25 Dec 2022 20:03:00 +0300",Спорт
В США увидели отчаяние в рождественском поздравлении Зеленского,https://lenta.ru/news/2022/12/25/zalotch/,"Sun, 25 Dec 2022 20:02:00 +0300",Интернет и СМИ
Жителей Нью-Йорка призвали экономить свет и газ из-за холодов,https://lenta.ru/news/2022/12/25/beregi/,"Sun, 25 Dec 2022 19:49:00 +0300",Экономика
Захарова назвала причину роста антисемитизма в США,https://lenta.ru/news/2022/12/25/zahantisem/,"Sun, 25 Dec 2022 19:48:00 +0300",Мир
Кириенко назвал гарантию победы России,https://lenta.ru/news/2022/12/25/kirienko_vera/,"Sun, 25 Dec 2022 19:37:00 +0300",Россия
Карл III впервые поздравил англичан с Рождеством,https://lenta.ru/news/2022/12/25/krizis/,"Sun, 25 Dec 2022 19:27:00 +0300",Из жизни
Неходячий пенсионер спасся во время пожара в кемеровском приюте,https://lenta.ru/news/2022/12/25/pensioner_fire/,"Sun, 25 Dec 2022 19:21:00 +0300",Россия
В столице Афганистана произошел взрыв,https://lenta.ru/news/2022/12/25/vzr_vzr/,"Sun, 25 Dec 2022 19:13:00 +0300",Мир
Pink Floyd собрали более 500 тысяч евро с продаж первого за 28 лет трека,https://lenta.ru/news/2022/12/25/pinkfloyd/,"Sun, 25 Dec 2022 19:04:00 +0300",Культура
Число погибших из-за снежной бури в США возросло,https://lenta.ru/news/2022/12/25/28burya/,"Sun, 25 Dec 2022 18:54:00 +0300",Мир
Новак заявил об ожидании Россией окончательных параметров эмбарго ЕС,https://lenta.ru/news/2022/12/25/novak3/,"Sun, 25 Dec 2022 18:53:00 +0300",Экономика
В Турции россиянин разбился насмерть при попытке сделать селфи,https://lenta.ru/news/2022/12/25/selfi/,"Sun, 25 Dec 2022 18:49:00 +0300",Мир
На Украине сообщили о планах дважды поднять тарифы на воду в 2023 году,https://lenta.ru/news/2022/12/25/ukr_water/,"Sun, 25 Dec 2022 18:47:00 +0300",Бывший СССР
Шансы разморозки золотовалютных резервов России оценили,https://lenta.ru/news/2022/12/25/chance/,"Sun, 25 Dec 2022 18:45:00 +0300",Экономика
Чимаев раскрыл детали следующего боя,https://lenta.ru/news/2022/12/25/chimaev/,"Sun, 25 Dec 2022 18:40:00 +0300",Спорт
Во Франции настояли на мирных переговорах Украины и России,https://lenta.ru/news/2022/12/25/fran_fran/,"Sun, 25 Dec 2022 18:39:00 +0300",Мир
Рогозин рассказал о пострадавших при обстреле сотрудниках гостиницы,https://lenta.ru/news/2022/12/25/rogozin_obstrel/,"Sun, 25 Dec 2022 18:26:00 +0300",Россия
В ЕС частично восстановились объемы туристических поездок,https://lenta.ru/news/2022/12/25/tour_es/,"Sun, 25 Dec 2022 18:25:00 +0300",Путешествия
В Британии пьяные Санта-Клаусы на БТР заблокировали въезд в деревню,https://lenta.ru/news/2022/12/25/drunksanta/,"Sun, 25 Dec 2022 18:21:00 +0300",Мир
Терапевт рассказала о способах избежать похмелья,https://lenta.ru/news/2022/12/25/hangover/,"Sun, 25 Dec 2022 18:15:00 +0300",Забота о себе
В Госдуме посоветовали Украине подготовиться войти в состав России,https://lenta.ru/news/2022/12/25/plan/,"Sun, 25 Dec 2022 18:01:00 +0300",Бывший СССР
Стало известно о сомнениях «Реала» по поводу трансфера Мбаппе,https://lenta.ru/news/2022/12/25/mbappe/,"Sun, 25 Dec 2022 17:58:00 +0300",Спорт
Опубликовано видео поражения гаубицы НАТО с помощью БПЛА «Ланцет»,https://lenta.ru/news/2022/12/25/nato_lancet/,"Sun, 25 Dec 2022 17:52:54 +0300",Россия
Москвичам предрекли метель и ухудшение видимости на дорогах,https://lenta.ru/news/2022/12/25/snova_zima/,"Sun, 25 Dec 2022 17:51:00 +0300",Россия
Пожар в российском многоквартирном доме сняли на видео,https://lenta.ru/news/2022/12/25/pojar_irkutsk/,"Sun, 25 Dec 2022 17:45:13 +0300",Россия
Певица Гречка попала в больницу,https://lenta.ru/news/2022/12/25/grechka/,"Sun, 25 Dec 2022 17:38:12 +0300",Культура
В ЦСКА завили о готовности Фернандеса продлить контракт с клубом,https://lenta.ru/news/2022/12/25/fernandes/,"Sun, 25 Dec 2022 17:34:40 +0300",Спорт
