	title	link	published	category
0	Медведева высказалась о возвращении на турниры	https://lenta.ru/news/2022/12/25/medvedeva/	Sun, 25 Dec 2022 20:35:39 +0300	Спорт
1	Трамп назвал Байдена умственно отсталым	https://lenta.ru/news/2022/12/25/umstot/	Sun, 25 Dec 2022 20:33:00 +0300	Мир
2	На Украине заявили о международной помощи на 1,5 миллиарда долларов	https://lenta.ru/news/2022/12/25/energosistema/	Sun, 25 Dec 2022 20:18:00 +0300	Бывший СССР
3	Россия выдала Минску 16 виновных в экстремизме белорусов	https://lenta.ru/news/2022/12/25/belarus_rus/	Sun, 25 Dec 2022 20:10:00 +0300	Бывший СССР
4	Бывший одноклубник Роналду оценил его способность соблюдать дисциплину	https://lenta.ru/news/2022/12/25/ronaldo/	Sun, 25 Dec 2022 20:03:00 +0300	Спорт
5	В США увидели отчаяние в рождественском поздравлении Зеленского	https://lenta.ru/news/2022/12/25/zalotch/	Sun, 25 Dec 2022 20:02:00 +0300	Интернет и СМИ
6	Жителей Нью-Йорка призвали экономить свет и газ из-за холодов	https://lenta.ru/news/2022/12/25/beregi/	Sun, 25 Dec 2022 19:49:00 +0300	Экономика
7	Захарова назвала причину роста антисемитизма в США	https://lenta.ru/news/2022/12/25/zahantisem/	Sun, 25 Dec 2022 19:48:00 +0300	Мир
8	Кириенко назвал гарантию победы России	https://lenta.ru/news/2022/12/25/kirienko_vera/	Sun, 25 Dec 2022 19:37:00 +0300	Россия
9	Карл III впервые поздравил англичан с Рождеством	https://lenta.ru/news/2022/12/25/krizis/	Sun, 25 Dec 2022 19:27:00 +0300	Из жизни
10	Неходячий пенсионер спасся во время пожара в кемеровском приюте	https://lenta.ru/news/2022/12/25/pensioner_fire/	Sun, 25 Dec 2022 19:21:00 +0300	Россия
11	В столице Афганистана произошел взрыв	https://lenta.ru/news/2022/12/25/vzr_vzr/	Sun, 25 Dec 2022 19:13:00 +0300	Мир
12	Pink Floyd собрали более 500 тысяч евро с продаж первого за 28 лет трека	https://lenta.ru/news/2022/12/25/pinkfloyd/	Sun, 25 Dec 2022 19:04:00 +0300	Культура
13	Число погибших из-за снежной бури в США возросло	https://lenta.ru/news/2022/12/25/28burya/	Sun, 25 Dec 2022 18:54:00 +0300	Мир
14	Новак заявил об ожидании Россией окончательных параметров эмбарго ЕС	https://lenta.ru/news/2022/12/25/novak3/	Sun, 25 Dec 2022 18:53:00 +0300	Экономика
15	В Турции россиянин разбился насмерть при попытке сделать селфи	https://lenta.ru/news/2022/12/25/selfi/	Sun, 25 Dec 2022 18:49:00 +0300	Мир
16	На Украине сообщили о планах дважды поднять тарифы на воду в 2023 году	https://lenta.ru/news/2022/12/25/ukr_water/	Sun, 25 Dec 2022 18:47:00 +0300	Бывший СССР
17	Шансы разморозки золотовалютных резервов России оценили	https://lenta.ru/news/2022/12/25/chance/	Sun, 25 Dec 2022 18:45:00 +0300	Экономика
18	Чимаев раскрыл детали следующего боя	https://lenta.ru/news/2022/12/25/chimaev/	Sun, 25 Dec 2022 18:40:00 +0300	Спорт
19	Во Франции настояли на мирных переговорах Украины и России	https://lenta.ru/news/2022/12/25/fran_fran/	Sun, 25 Dec 2022 18:39:00 +0300	Мир
20	Рогозин рассказал о пострадавших при обстреле сотрудниках гостиницы	https://lenta.ru/news/2022/12/25/rogozin_obstrel/	Sun, 25 Dec 2022 18:26:00 +0300	Россия
21	В ЕС частично восстановились объемы туристических поездок	https://lenta.ru/news/2022/12/25/tour_es/	Sun, 25 Dec 2022 18:25:00 +0300	Путешествия
22	В Британии пьяные Санта-Клаусы на БТР заблокировали въезд в деревню	https://lenta.ru/news/2022/12/25/drunksanta/	Sun, 25 Dec 2022 18:21:00 +0300	Мир
23	Терапевт рассказала о способах избежать похмелья	https://lenta.ru/news/2022/12/25/hangover/	Sun, 25 Dec 2022 18:15:00 +0300	Забота о себе
24	В Госдуме посоветовали Украине подготовиться войти в состав России	https://lenta.ru/news/2022/12/25/plan/	Sun, 25 Dec 2022 18:01:00 +0300	Бывший СССР
25	Стало известно о сомнениях «Реала» по поводу трансфера Мбаппе	https://lenta.ru/news/2022/12/25/mbappe/	Sun, 25 Dec 2022 17:58:00 +0300	Спорт
26	Опубликовано видео поражения гаубицы НАТО с помощью БПЛА «Ланцет»	https://lenta.ru/news/2022/12/25/nato_lancet/	Sun, 25 Dec 2022 17:52:54 +0300	Россия
27	Москвичам предрекли метель и ухудшение видимости на дорогах	https://lenta.ru/news/2022/12/25/snova_zima/	Sun, 25 Dec 2022 17:51:00 +0300	Россия
28	Пожар в российском многоквартирном доме сняли на видео	https://lenta.ru/news/2022/12/25/pojar_irkutsk/	Sun, 25 Dec 2022 17:45:13 +0300	Россия
29	Певица Гречка попала в больницу	https://lenta.ru/news/2022/12/25/grechka/	Sun, 25 Dec 2022 17:38:12 +0300	Культура
30	В ЦСКА завили о готовности Фернандеса продлить контракт с клубом	https://lenta.ru/news/2022/12/25/fernandes/	Sun, 25 Dec 2022 17:34:40 +0300	Спорт
31	Река Днестр оказалась загрязнена нефтепродуктами	https://lenta.ru/news/2022/12/25/zagryaznenie/	Sun, 25 Dec 2022 17:32:24 +0300	Бывший СССР
32	ООН осудила решение талибов отстранить женщин от работы в НПО	https://lenta.ru/news/2022/12/25/oon_talib/	Sun, 25 Dec 2022 17:30:00 +0300	Мир
33	Подполковник ВСУ заявил о массовом дезертирстве в своем подразделении	https://lenta.ru/news/2022/12/25/szch/	Sun, 25 Dec 2022 17:20:00 +0300	Бывший СССР
34	Улицу в Кременчуге назвали именем главы украинских националистов	https://lenta.ru/news/2022/12/25/kremen4ug/	Sun, 25 Dec 2022 17:16:00 +0300	Бывший СССР
35	На сухогрузном судне у берегов Турции произошел взрыв	https://lenta.ru/news/2022/12/25/blast/	Sun, 25 Dec 2022 17:12:23 +0300	Мир
36	Новак заявил о провоцировании кризиса в Европе из-за потолка цен на газ	https://lenta.ru/news/2022/12/25/novak_gaz/	Sun, 25 Dec 2022 17:05:00 +0300	Экономика
37	Защитившего девушку россиянина жестоко избили на популярном курорте Таиланда	https://lenta.ru/news/2022/12/25/thai_tourists/	Sun, 25 Dec 2022 17:01:36 +0300	Путешествия
38	Хореограф Тутберидзе заявил о сбежавшей с чемпионата России Трусовой	https://lenta.ru/news/2022/12/25/jeleznykov/	Sun, 25 Dec 2022 16:54:59 +0300	Спорт
39	Иран захотел помочь афганским женщинам в образовании	https://lenta.ru/news/2022/12/25/hazali_hazali/	Sun, 25 Dec 2022 16:50:00 +0300	Мир
40	Новак предупредил о дефиците газа в Европе	https://lenta.ru/news/2022/12/25/novvvak/	Sun, 25 Dec 2022 16:33:00 +0300	Экономика
41	Девушка с необычной фобией боялась мишуры в течение 20 лет	https://lenta.ru/news/2022/12/25/tinsel/	Sun, 25 Dec 2022 16:28:00 +0300	Из жизни
42	Бывший депутат Рады посоветовал украинцам бежать из страны	https://lenta.ru/news/2022/12/25/begstvo/	Sun, 25 Dec 2022 16:01:00 +0300	Бывший СССР
43	Украинские военные попали под «огненный дождь» в Марьинке	https://lenta.ru/news/2022/12/25/marienka/	Sun, 25 Dec 2022 15:59:00 +0300	Россия
44	В офисе Зеленского допустили прекращение поддержки Украины со стороны США	https://lenta.ru/news/2022/12/25/usa_support/	Sun, 25 Dec 2022 15:55:00 +0300	Бывший СССР
45	По всей Украине дважды за день объявили воздушную тревогу	https://lenta.ru/news/2022/12/25/again_again/	Sun, 25 Dec 2022 15:55:00 +0300	Бывший СССР
46	В России объяснили слова Путина о приемлемых развязках с Украиной	https://lenta.ru/news/2022/12/25/chepa/	Sun, 25 Dec 2022 15:55:00 +0300	Бывший СССР
47	Кадыров сообщил о прибытии в Чечню Кириенко и Трутнева	https://lenta.ru/news/2022/12/25/kadyrov/	Sun, 25 Dec 2022 15:51:25 +0300	Россия
48	Представлена сборная самых дорогих футболистов мира	https://lenta.ru/news/2022/12/25/team_rich/	Sun, 25 Dec 2022 15:51:00 +0300	Спорт
49	Парижский стрелок планировал поехать в пригород «убивать иностранцев»	https://lenta.ru/news/2022/12/25/strelok_plan/	Sun, 25 Dec 2022 15:48:00 +0300	Мир
50	В Иране ответили на угрозы атаки Украины	https://lenta.ru/news/2022/12/25/ataka_iran/	Sun, 25 Dec 2022 15:47:00 +0300	Мир
51	В Санкт-Петербурге ограбили Деда Мороза	https://lenta.ru/news/2022/12/25/voting/	Sun, 25 Dec 2022 15:35:00 +0300	Россия
52	ВСУ при обстреле повредили здание химического завода «Стирол» в Донецке	https://lenta.ru/news/2022/12/25/stirol/	Sun, 25 Dec 2022 15:30:00 +0300	Россия
53	Организатор кемеровского приюта не пустил пожарного инспектора для проверки	https://lenta.ru/news/2022/12/25/pojar_proverka/	Sun, 25 Dec 2022 15:16:00 +0300	Россия
54	12-летний подросток с сообщниками задушил и ограбил супругов	https://lenta.ru/news/2022/12/25/murder/	Sun, 25 Dec 2022 15:03:00 +0300	Из жизни
55	В ДНР беспилотник обратил в бегство отряд ВСУ и попал на видео	https://lenta.ru/news/2022/12/25/begom_begom/	Sun, 25 Dec 2022 15:01:00 +0300	Россия
56	Большинство немцев выступили против поставок боевых танков Украине	https://lenta.ru/news/2022/12/25/tanki_protiv/	Sun, 25 Dec 2022 14:54:00 +0300	Мир
57	Китай провел военные учения со стрельбами и патрулирование около острова Тайвань	https://lenta.ru/news/2022/12/25/china_uchenie/	Sun, 25 Dec 2022 14:49:00 +0300	Мир
58	Туктамышева сравнила призовые на чемпионатах России и мира	https://lenta.ru/news/2022/12/25/tuktik/	Sun, 25 Dec 2022 14:48:00 +0300	Спорт
59	Шойгу заявил о противодействии сил Запада российским войскам на Украине	https://lenta.ru/news/2022/12/25/shoygu_zapad/	Sun, 25 Dec 2022 14:46:00 +0300	Россия
60	На востоке и в центре Украины снова объявили воздушную тревогу	https://lenta.ru/news/2022/12/25/snova_ona/	Sun, 25 Dec 2022 14:41:00 +0300	Бывший СССР
61	Переехавшая в Аргентину россиянка описала страну фразой «жизнь тут не танго»	https://lenta.ru/news/2022/12/25/argentina/	Sun, 25 Dec 2022 14:38:00 +0300	Путешествия
62	57-летняя актриса снялась в откровенном наряде в честь Рождества	https://lenta.ru/news/2022/12/25/eliza/	Sun, 25 Dec 2022 14:32:00 +0300	Ценности
63	«Человек-слон» рассказал о своем заболевании	https://lenta.ru/news/2022/12/25/elephant_man/	Sun, 25 Dec 2022 14:31:00 +0300	Ценности
64	Турция и Россия обсудили открытие воздушного пространства Сирии для ВВС	https://lenta.ru/news/2022/12/25/turkish_rus/	Sun, 25 Dec 2022 14:27:00 +0300	Россия
65	Раздачу повесток на улицах Украины сняли на видео	https://lenta.ru/news/2022/12/25/povestka_ukr/	Sun, 25 Dec 2022 14:17:00 +0300	Бывший СССР
66	Косметолог сделала операцию по уменьшению щек и осталась с волдырями во рту	https://lenta.ru/news/2022/12/25/plastic/	Sun, 25 Dec 2022 14:09:00 +0300	Ценности
67	Умер бывший главнокомандующий сухопутными войсками ВС РФ	https://lenta.ru/news/2022/12/25/maslov/	Sun, 25 Dec 2022 14:03:00 +0300	Россия
68	Минобороны доложило о разбитом месте дислокации наемников вблизи Артемовска	https://lenta.ru/news/2022/12/25/artemovsk_kk/	Sun, 25 Dec 2022 13:59:00 +0300	Россия
69	В ЛНР заявили о переброске подкрепления ВСУ под Сватово	https://lenta.ru/news/2022/12/25/perebroska/	Sun, 25 Dec 2022 13:52:00 +0300	Россия
70	Российские военные поразили две ротные группы ВСУ на южно-донецком направлении	https://lenta.ru/news/2022/12/25/vsu_rus/	Sun, 25 Dec 2022 13:50:00 +0300	Россия
71	Левандовски оценил победу Месси на чемпионате мира-2022	https://lenta.ru/news/2022/12/25/robert/	Sun, 25 Dec 2022 13:48:00 +0300	Спорт
